Day,TimeSlot,Chapati,Rice,Dal,Veg Curry,Raita,Papad,Paneer,Aloo Fry,Kadhi,Mixed Veg,Curd,Salad,Chole,Rajma,Pulao
Monday,Lunch,5.0,3.3,1.7,0.0,3.6,0.0,2.8,3.2,0.0,0.0,1.9,3.4,4.8,3.8,1.1
Monday,Dinner,7.0,4.3,2.6,2.8,2.6,0.0,4.7,4.5,0.7,3.9,3.8,0.8,1.0,1.6,3.1
Tuesday,Lunch,2.6,2.6,4.0,2.6,3.4,0.0,1.7,1.5,1.4,1.2,3.5,1.6,2.3,0.0,2.6
Tuesday,Dinner,2.0,1.4,4.9,0.7,1.6,0.0,1.1,0.0,0.7,2.3,2.0,3.4,0.0,2.1,3.4
Wednesday,Lunch,4.6,2.9,4.8,2.5,0.0,0.6,2.8,0.0,0.7,2.5,2.8,4.3,2.7,0.0,0.0
Wednesday,Dinner,5.0,0.0,3.3,4.6,3.6,0.0,3.4,4.6,2.6,2.3,3.8,3.3,0.0,3.1,4.0
Thursday,Lunch,6.0,0.0,0.0,2.7,3.6,0.0,1.3,2.2,3.9,4.1,0.0,4.6,1.1,0.0,1.5
Thursday,Dinner,3.8,2.6,2.1,0.0,0.6,2.0,4.0,0.0,4.8,1.8,2.9,1.2,4.9,2.7,0.0
Friday,Lunch,5.2,0.0,4.9,0.0,0.0,0.0,2.0,1.6,4.1,1.3,3.9,4.7,4.3,4.4,3.2
Friday,Dinner,0.0,4.7,1.3,0.0,2.8,3.9,0.6,2.7,2.8,0.0,0.0,0.0,3.4,3.9,2.9
Saturday,Lunch,4.9,3.9,2.2,1.8,1.1,4.9,2.3,0.0,1.5,0.0,2.9,1.2,0.9,0.0,1.6
Saturday,Dinner,4.2,0.5,0.0,0.0,0.0,2.1,4.3,4.0,3.9,4.9,4.5,0.0,0.0,4.2,0.0
Sunday,Lunch,0.0,2.1,1.2,4.4,3.5,4.3,1.7,0.0,0.0,1.0,2.0,0.0,2.0,4.5,2.1
Sunday,Dinner,1.5,0.0,2.0,0.0,2.4,0.0,2.8,0.0,3.5,0.0,1.1,2.8,4.2,3.3,0.0
