Restaurant,CenterName,Distance_km
GreenLeaf Restaurant,SmileFoodBank,0.92
GreenLeaf Restaurant,HelpingHands NGO,4.48
GreenLeaf Restaurant,Local KitchenAid,1.1
GreenLeaf Restaurant,FoodRelief Hub,0.68
GreenLeaf Restaurant,Feed the Needy,4.81
GreenLeaf Restaurant,Annapurna Center,3.64
GreenLeaf Restaurant,CityServe Foundation,4.26
GreenLeaf Restaurant,NourishTogether,5.48
GreenLeaf Restaurant,Care4All NGO,2.17
GreenLeaf Restaurant,HopeGivers,2.5
GreenLeaf Restaurant,Satvik Bhojan Sewa,2.23
GreenLeaf Restaurant,Happy Tummies,1.62
GreenLeaf Restaurant,Aahar Foundation,4.49
GreenLeaf Restaurant,Grain & Smile Bank,0.99
GreenLeaf Restaurant,Ujjwal Seva,5.13
GreenLeaf Restaurant,Annapoorna Trust,2.33
GreenLeaf Restaurant,Global Aid Center,0.85
GreenLeaf Restaurant,FoodBridge,0.78
GreenLeaf Restaurant,Hunger Relief Mission,0.61
SpiceVilla,SmileFoodBank,5.15
SpiceVilla,HelpingHands NGO,3.49
SpiceVilla,Local KitchenAid,3.75
SpiceVilla,FoodRelief Hub,3.16
SpiceVilla,Feed the Needy,4.53
SpiceVilla,Annapurna Center,4.24
SpiceVilla,CityServe Foundation,3.1
SpiceVilla,NourishTogether,1.64
SpiceVilla,Care4All NGO,5.02
SpiceVilla,HopeGivers,5.65
SpiceVilla,Satvik Bhojan Sewa,3.49
SpiceVilla,Happy Tummies,2.8
SpiceVilla,Aahar Foundation,4.91
SpiceVilla,Grain & Smile Bank,2.34
SpiceVilla,Ujjwal Seva,1.61
SpiceVilla,Annapoorna Trust,3.37
SpiceVilla,Global Aid Center,4.4
SpiceVilla,FoodBridge,1.61
SpiceVilla,Hunger Relief Mission,0.84
Tandoori Treats,SmileFoodBank,1.36
Tandoori Treats,HelpingHands NGO,5.16
Tandoori Treats,Local KitchenAid,1.96
Tandoori Treats,FoodRelief Hub,4.7
Tandoori Treats,Feed the Needy,2.57
Tandoori Treats,Annapurna Center,3.45
Tandoori Treats,CityServe Foundation,3.67
Tandoori Treats,NourishTogether,2.31
Tandoori Treats,Care4All NGO,4.19
Tandoori Treats,HopeGivers,5.76
Tandoori Treats,Satvik Bhojan Sewa,3.24
Tandoori Treats,Happy Tummies,5.78
Tandoori Treats,Aahar Foundation,2.32
Tandoori Treats,Grain & Smile Bank,2.68
Tandoori Treats,Ujjwal Seva,4.45
Tandoori Treats,Annapoorna Trust,1.04
Tandoori Treats,Global Aid Center,1.87
Tandoori Treats,FoodBridge,0.57
Tandoori Treats,Hunger Relief Mission,5.54
HappyBites,SmileFoodBank,0.59
HappyBites,HelpingHands NGO,2.18
HappyBites,Local KitchenAid,5.48
HappyBites,FoodRelief Hub,5.0
HappyBites,Feed the Needy,5.97
HappyBites,Annapurna Center,5.87
HappyBites,CityServe Foundation,0.57
HappyBites,NourishTogether,1.03
HappyBites,Care4All NGO,3.19
HappyBites,HopeGivers,4.22
HappyBites,Satvik Bhojan Sewa,2.27
HappyBites,Happy Tummies,1.25
HappyBites,Aahar Foundation,1.33
HappyBites,Grain & Smile Bank,5.69
HappyBites,Ujjwal Seva,1.22
HappyBites,Annapoorna Trust,2.65
HappyBites,Global Aid Center,3.65
HappyBites,FoodBridge,1.33
HappyBites,Hunger Relief Mission,3.81
Urban Thali,SmileFoodBank,3.86
Urban Thali,HelpingHands NGO,4.53
Urban Thali,Local KitchenAid,2.12
Urban Thali,FoodRelief Hub,2.48
Urban Thali,Feed the Needy,5.69
Urban Thali,Annapurna Center,2.3
Urban Thali,CityServe Foundation,5.24
Urban Thali,NourishTogether,5.64
Urban Thali,Care4All NGO,4.48
Urban Thali,HopeGivers,4.05
Urban Thali,Satvik Bhojan Sewa,0.52
Urban Thali,Happy Tummies,5.05
Urban Thali,Aahar Foundation,2.46
Urban Thali,Grain & Smile Bank,2.57
Urban Thali,Ujjwal Seva,5.76
Urban Thali,Annapoorna Trust,4.12
Urban Thali,Global Aid Center,0.57
Urban Thali,FoodBridge,4.77
Urban Thali,Hunger Relief Mission,3.73
