Restaurant,CenterName,Distance_km
GreenLeaf Restaurant,SmileFoodBank,2.1
GreenLeaf Restaurant,HelpingHands NGO,3.17
GreenLeaf Restaurant,Local KitchenAid,5.86
GreenLeaf Restaurant,FoodRelief Hub,4.85
GreenLeaf Restaurant,Feed the Needy,4.07
GreenLeaf Restaurant,Annapurna Center,1.82
SpiceVilla,SmileFoodBank,1.49
SpiceVilla,HelpingHands NGO,2.11
SpiceVilla,Local KitchenAid,4.74
SpiceVilla,FoodRelief Hub,3.32
SpiceVilla,Feed the Needy,3.03
SpiceVilla,Annapurna Center,4.33
Tandoori Treats,SmileFoodBank,4.73
Tandoori Treats,HelpingHands NGO,0.73
Tandoori Treats,Local KitchenAid,5.87
Tandoori Treats,FoodRelief Hub,2.97
Tandoori Treats,Feed the Needy,4.77
Tandoori Treats,Annapurna Center,5.73
HappyBites,SmileFoodBank,5.65
HappyBites,HelpingHands NGO,4.16
HappyBites,Local KitchenAid,4.88
HappyBites,FoodRelief Hub,3.4
HappyBites,Feed the Needy,0.75
HappyBites,Annapurna Center,4.43
Urban Thali,SmileFoodBank,5.58
Urban Thali,HelpingHands NGO,1.46
Urban Thali,Local KitchenAid,4.99
Urban Thali,FoodRelief Hub,0.51
Urban Thali,Feed the Needy,5.35
Urban Thali,Annapurna Center,5.58
