CenterName,AcceptedFoods,Capacity_kg,Contact
SmileFoodBank,"Rice, Dal, Chapati, Curd, Rajma, Chole, Pulao",20,smilefoodbank@ngo.org
HelpingHands NGO,"Rice, Dal, Chapati, Curd, Rajma, Chole, Pulao",57,helpinghandsngo@ngo.org
Local KitchenAid,"Rice, Wheat, Oil",180,localkitchenaid@ngo.org
FoodRelief Hub,"Rice, Wheat, Oil",165,foodreliefhub@ngo.org
Feed the Needy,"Rice, Dal, Chapati, Curd, Rajma, Chole, Pulao",63,feedtheneedy@ngo.org
Annapurna Center,"Bread, Butter, Jam, Poha, Idli, Sambhar, Upma, Khichdi",68,annapurnacenter@ngo.org
CityServe Foundation,"Rice, Dal, Chapati, Curd, Rajma, Chole, Pulao",117,cityservefoundation@ngo.org
NourishTogether,"Rice, Dal, Chapati, Curd, Rajma, Chole, Pulao",164,nourishtogether@ngo.org
Care4All NGO,"Rice, Wheat, Oil",141,care4allngo@ngo.org
HopeGivers,"Bread, Butter, Jam, Poha, Idli, Sambhar, Upma, Khichdi",74,hopegivers@ngo.org
Satvik Bhojan Sewa,"Rice, Dal, Chapati, Curd, Rajma, Chole, Pulao",194,satvikbhojansewa@ngo.org
Happy Tummies,"Rice, Dal, Chapati, Curd, Rajma, Chole, Pulao",114,happytummies@ngo.org
Aahar Foundation,"Bread, Butter, Jam, Poha, Idli, Sambhar, Upma, Khichdi",84,aaharfoundation@ngo.org
Grain & Smile Bank,"Bread, Butter, Jam, Poha, Idli, Sambhar, Upma, Khichdi",13,grainandsmilebank@ngo.org
Ujjwal Seva,"Salad, Kadhi, Aloo Fry, Raita, Paneer, Mixed Veg, Veg Curry",77,ujjwalseva@ngo.org
Annapoorna Trust,"Rice, Dal, Chapati, Curd, Rajma, Chole, Pulao",185,annapoornatrust@ngo.org
Global Aid Center,"Rice, Wheat, Oil",115,globalaidcenter@ngo.org
FoodBridge,"Salad, Kadhi, Aloo Fry, Raita, Paneer, Mixed Veg, Veg Curry",156,foodbridge@ngo.org
Hunger Relief Mission,"Rice, Wheat, Oil",171,hungerreliefmission@ngo.org
